LoanID,CustomerID,ProductID,BranchID,DisbursalDateKey,DisbursalDate,MaturityDate,LoanAmountUSD,InterestRate,TenureMonths,MonthlyEMI_USD,LoanPurpose,CollateralValueUSD,ApprovalRiskRating,LoanStatus,IsNonPerformingAsset,WriteOffAmountUSD
LN-10001,CUST-0359,PRD-EQUIP,BR-101,20260219,2026-02-19,2030-02-19,78500.0,0.084,48,1931.19,Industrial CNC Machine,123052.34,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10002,CUST-0270,PRD-EDU,BR-112,20230729,2023-07-29,2027-07-29,65800.0,0.074,48,1587.9,Medical Residency Program,0.0,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10003,CUST-0147,PRD-AUTO,BR-109,20250831,2025-08-31,2028-08-30,31200.0,0.083,36,982.02,New EV Purchase,37803.13,CCC - Elevated Risk,Current / Performing,0,0.0
LN-10004,CUST-0220,PRD-AUTO,BR-104,20240722,2024-07-22,2027-07-22,57000.0,0.103,36,1847.27,Fleet Commercial Van,76878.24,CCC - Elevated Risk,Current / Performing,0,0.0
LN-10005,CUST-0392,PRD-PERS,BR-108,20240102,2024-01-02,2025-01-01,9300.0,0.15,12,839.4,Emergency Medical Exp,0.0,CCC - Elevated Risk,Fully Paid,0,0.0
LN-10006,CUST-0281,PRD-EQUIP,BR-103,20230428,2023-04-28,2025-04-27,158800.0,0.134,24,7579.51,Warehouse Forklift Fleet,253882.17,DDD - High Default Probability,Fully Paid,0,0.0
LN-10007,CUST-0430,PRD-MORT,BR-107,20230425,2023-04-25,2043-04-25,614400.0,0.0575,240,4313.6,Primary Residence Purchase,793440.12,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10008,CUST-0681,PRD-SME,BR-111,20250502,2025-05-02,2027-05-02,76000.0,0.1,24,3507.01,Inventory Stocking Q4,112330.33,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10009,CUST-0580,PRD-SME,BR-103,20230630,2023-06-30,2025-06-29,417200.0,0.09,24,19059.67,Inventory Stocking Q4,616745.79,AAA - Low Risk,Fully Paid,0,0.0
LN-10010,CUST-0766,PRD-EQUIP,BR-102,20230929,2023-09-29,2028-09-28,33300.0,0.114,60,730.68,Medical Imaging Scanner,42596.84,CCC - Elevated Risk,Current / Performing,0,0.0
LN-10011,CUST-0850,PRD-EQUIP,BR-103,20231216,2023-12-16,2025-12-15,172200.0,0.114,24,8057.89,Medical Imaging Scanner,227916.4,CCC - Elevated Risk,Fully Paid,0,0.0
LN-10012,CUST-0265,PRD-AUTO,BR-104,20250815,2025-08-15,2030-08-15,16600.0,0.083,60,338.98,New EV Purchase,22952.21,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10013,CUST-0925,PRD-MORT,BR-102,20240119,2024-01-19,2044-01-19,399100.0,0.0575,240,2802.02,Refinance Existing Mortgage,557163.61,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10014,CUST-0782,PRD-EDU,BR-107,20230809,2023-08-09,2033-08-08,39800.0,0.074,120,470.36,MBA Program Tuition,0.0,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10015,CUST-0994,PRD-MORT,BR-110,20240925,2024-09-25,2044-09-25,721000.0,0.0575,240,5062.02,Refinance Existing Mortgage,957630.21,AAA - Low Risk,Current / Performing,0,0.0
LN-10016,CUST-0103,PRD-SME,BR-107,20260131,2026-01-31,2033-01-30,329500.0,0.1,84,5470.09,New Branch Expansion,478037.47,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10017,CUST-0501,PRD-EQUIP,BR-108,20260416,2026-04-16,2028-04-15,59400.0,0.094,24,2724.59,Medical Imaging Scanner,73072.22,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10018,CUST-0155,PRD-PERS,BR-112,20240929,2024-09-29,2028-09-29,24600.0,0.13,48,659.96,Wedding & Family,0.0,CCC - Elevated Risk,Charged Off / Written Off,1,11827.26
LN-10019,CUST-0132,PRD-EDU,BR-105,20251104,2025-11-04,2035-11-04,58000.0,0.074,120,685.45,Master of Science in Data Analytics,0.0,BBB - Moderate Risk,Delinquent (31-60 DPD),0,0.0
LN-10020,CUST-0374,PRD-MORT,BR-107,20240102,2024-01-02,2044-01-02,545600.0,0.0675,240,4148.55,Refinance Existing Mortgage,841119.57,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10021,CUST-0703,PRD-PERS,BR-111,20240531,2024-05-31,2028-05-31,13800.0,0.15,48,384.06,Emergency Medical Exp,0.0,CCC - Elevated Risk,Current / Performing,0,0.0
LN-10022,CUST-0130,PRD-EQUIP,BR-109,20231024,2023-10-24,2028-10-23,91800.0,0.094,60,1923.49,Warehouse Forklift Fleet,119837.91,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10023,CUST-0525,PRD-EQUIP,BR-108,20230611,2023-06-11,2028-06-10,168800.0,0.094,60,3536.87,Medical Imaging Scanner,217058.85,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10024,CUST-0711,PRD-MORT,BR-107,20250205,2025-02-05,2045-02-05,339900.0,0.0675,240,2584.48,Refinance Existing Mortgage,432915.01,BBB - Moderate Risk,Current / Performing,0,0.0
LN-10025,CUST-0651,PRD-PERS,BR-102,20230718,2023-07-18,2027-07-18,10200.0,0.15,48,283.87,Emergency Medical Exp,0.0,CCC - Elevated Risk,Current / Performing,0,0.0
LN-10026,CUST-0875,PRD-EQUIP,BR-110,20251018,2025-10-18,2029-10-18,107500.0,0.084,48,2644.62,Industrial CNC Machine,156180.7,AAA - Low Risk,Current / Performing,0,0.0
LN-10027,CUST-0599,PRD-AUTO,BR-108,20241221,2024-12-21,2030-12-21,35800.0,0.073,72,615.52,New EV Purchase,53274.87,AAA - Low Risk,Current / Performing,0,0.0
LN-10028,CUST-0753,PRD-SME,BR-102,20260131,2026-01-31,2033-01-30,190800.0,0.09,84,3069.8,Inventory Stocking Q4,255324.93,AAA - Low Risk,Current / Performing,0,0.0
