RepaymentID,LoanID,CustomerID,DueDateKey,DueDate,PaymentDateKey,PaymentDate,ScheduledAmountUSD,PaidAmountUSD,DaysPastDue,DelinquencyBucket,IsLatePayment,LatePenaltyUSD
REP-100001,LN-10001,CUST-0359,20260321,2026-03-21,20260321,2026-03-21,1931.19,1931.19,0,0 - Current,0,0.0
REP-100002,LN-10001,CUST-0359,20260420,2026-04-20,20260420,2026-04-20,1931.19,1931.19,0,0 - Current,0,0.0
REP-100003,LN-10001,CUST-0359,20260521,2026-05-21,20260521,2026-05-21,1931.19,1931.19,0,0 - Current,0,0.0
REP-100004,LN-10001,CUST-0359,20260620,2026-06-20,20260620,2026-06-20,1931.19,1931.19,0,0 - Current,0,0.0
REP-100005,LN-10001,CUST-0359,20260721,2026-07-21,20260721,2026-07-21,1931.19,1931.19,0,0 - Current,0,0.0
REP-100006,LN-10001,CUST-0359,20260820,2026-08-20,20260820,2026-08-20,1931.19,1931.19,0,0 - Current,0,0.0
REP-100007,LN-10001,CUST-0359,20260920,2026-09-20,20260920,2026-09-20,1931.19,1931.19,0,0 - Current,0,0.0
REP-100008,LN-10001,CUST-0359,20261020,2026-10-20,20261020,2026-10-20,1931.19,1931.19,0,0 - Current,0,0.0
REP-100009,LN-10002,CUST-0270,20230828,2023-08-28,20230828,2023-08-28,1587.9,1587.9,0,0 - Current,0,0.0
REP-100010,LN-10002,CUST-0270,20230927,2023-09-27,20230927,2023-09-27,1587.9,1587.9,0,0 - Current,0,0.0
REP-100011,LN-10002,CUST-0270,20231028,2023-10-28,20231028,2023-10-28,1587.9,1587.9,0,0 - Current,0,0.0
REP-100012,LN-10002,CUST-0270,20231127,2023-11-27,20231127,2023-11-27,1587.9,1587.9,0,0 - Current,0,0.0
REP-100013,LN-10002,CUST-0270,20231228,2023-12-28,20231228,2023-12-28,1587.9,1587.9,0,0 - Current,0,0.0
REP-100014,LN-10002,CUST-0270,20240127,2024-01-27,20240127,2024-01-27,1587.9,1587.9,0,0 - Current,0,0.0
REP-100015,LN-10002,CUST-0270,20240227,2024-02-27,20240227,2024-02-27,1587.9,1587.9,0,0 - Current,0,0.0
REP-100016,LN-10002,CUST-0270,20240328,2024-03-28,20240328,2024-03-28,1587.9,1587.9,0,0 - Current,0,0.0
REP-100017,LN-10003,CUST-0147,20250930,2025-09-30,20250930,2025-09-30,982.02,982.02,0,0 - Current,0,0.0
